text_lang,CONval,CONava,Quant_CTAM,COMP,spoken_lang,VALn
NA,NA,NA,NA,NA,NA,0
Multilingual,2,3,4,0,1,4
Multilingual,NA,NA,1,0,NA,0
English,4,4,3,NA,0,1
NA,NA,NA,NA,NA,NA,0
Multilingual,0,0,5,0,1,4
NA,NA,NA,NA,NA,NA,0
NA,NA,NA,4,NA,NA,0
Multilingual,4,3,1,1,NA,0
Multilingual,3,4,5,0,0,5
Multilingual,1,2,2,0,1,0
English,6,2,1,NA,1,0
Multilingual,1,0,1,0,1,0
Other than English,NA,NA,3,NA,NA,0
English,2,0,4,NA,0,4
Multilingual,5,5,5,0,1,2
Multilingual,2,0,4,0,NA,4
Other than English,0,5,5,NA,0,2
Multilingual,0,2,3,0,0,4
English,0,4,5,NA,0,2
English,3,3,3,NA,0,1
English,1,6,1,NA,0,0
Multilingual,3,3,4,0,NA,5
Multilingual,5,5,4,0,1,3
Multilingual,3,2,2,0,1,0
English,5,3,2,NA,0,0
English,5,3,4,NA,0,4
Multilingual,3,3,4,0,1,3
English,4,2,4,NA,0,4
English,4,2,2,NA,0,0
Multilingual,4,3,4,0,0,3
Multilingual,0,1,3,0,NA,0
Multilingual,3,1,2,0,1,0
Multilingual,2,4,4,0,1,2
English,2,3,2,NA,0,0
Multilingual,1,0,5,0,0,4
Multilingual,5,4,4,0,1,0
Multilingual,2,5,2,0,1,0
English,5,3,1,NA,0,0
Multilingual,4,5,4,0,1,2
English,1,2,4,NA,0,2
English,5,6,4,NA,1,2
English,4,4,4,NA,0,5
Multilingual,2,4,4,1,1,4
Multilingual,0,0,5,0,1,4
Multilingual,2,2,4,0,0,5
Other than English,1,3,2,NA,1,0
Multilingual,0,1,3,0,0,3
Multilingual,4,3,5,0,0,4
Multilingual,3,4,5,0,1,5
Multilingual,6,2,5,0,1,5
Multilingual,3,3,5,0,0,5
Multilingual,5,4,1,0,0,0
Multilingual,5,5,3,0,1,3
Multilingual,3,0,5,0,NA,5
Multilingual,7,3,5,0,1,2
English,4,3,4,NA,1,3
Other than English,5,1,4,NA,1,0
Multilingual,4,6,3,0,1,1
Multilingual,0,3,1,0,1,0
Multilingual,1,3,2,0,1,0
English,3,1,5,NA,0,4
Multilingual,5,3,5,0,1,4
